DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2011,92.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2012,95.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2013,96.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2014,98.1,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2015,100.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2016,101.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2017,102.4,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2018,104.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2019,105.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2020,105.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2021,110.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2022,121.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2000,72.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2001,74.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2002,75.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2003,77.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2004,79.5,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2005,81.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2006,84.5,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2007,87.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2008,91.4,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2009,91.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2010,93.5,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2011,96.5,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2012,98.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2013,98.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2014,99.3,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2015,100.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2016,100.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2017,103.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2018,105.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2019,107.4,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2020,108.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2021,115.4,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA19,2022,129.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA20,2000,72.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,EA20,2001,74.0,,
